X Y Yaw
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.154239999999999822e-01 -1.884780000000000066e-01 1.231100000000000083e+00
9.090560000000000307e-02 4.896159999999999957e-01 7.507310000000000372e-01
1.987579999999999902e-01 6.010330000000000394e-01 9.544340000000000046e-01
1.250029999999999974e+00 1.126959999999999962e+00 -1.902159999999999962e-01
2.082580000000000098e+00 1.323220000000000063e+00 7.937870000000000203e-01
2.263310000000000155e+00 1.480569999999999942e+00 6.002129999999999965e-01
3.289439999999999920e+00 2.333549999999999791e+00 8.134620000000000184e-01
3.161160000000000192e+00 2.217740000000000045e+00 4.969350000000000156e-01
3.291319999999999801e+00 2.288330000000000197e+00 5.539709999999999912e-01
4.313220000000000276e+00 2.342929999999999957e+00 -6.140679999999999472e-01
4.888519999999999754e+00 1.582699999999999996e+00 -1.334880000000000067e+00
4.961120000000000196e+00 1.417890000000000095e+00 -9.052369999999999584e-01
5.204399999999999693e+00 1.281900000000000039e+00 4.401189999999999963e-02
5.710230000000000139e+00 1.262270000000000003e+00 -1.400160000000000016e-01
6.143919999999999604e+00 1.204620000000000024e+00 -1.189920000000000005e-01
6.891370000000000218e+00 1.035619999999999985e+00 -3.515920000000000156e-01
7.759549999999999947e+00 4.152919999999999945e-01 -9.660109999999999530e-01
8.104210000000000136e+00 -9.166459999999999886e-02 -9.833690000000000486e-01
8.595259999999999678e+00 -5.135349999999999637e-01 -3.753549999999999942e-01
8.432610000000000383e+00 -4.744039999999999924e-01 -2.722060000000000105e-02
8.993980000000000530e+00 -3.184620000000000228e-01 7.182309999999999528e-01
8.965109999999999246e+00 -3.404900000000000149e-01 4.525810000000000111e-01
9.346539999999999182e+00 -2.338140000000000010e-02 1.030980000000000008e+00
9.233639999999999404e+00 -1.296829999999999927e-01 3.418109999999999760e-01
9.289329999999999643e+00 -1.152870000000000006e-01 -1.355220000000000036e-02
9.657619999999999649e+00 -1.012500000000000067e-01 1.241740000000000066e-01
9.971690000000000609e+00 -6.474100000000000688e-02 9.037770000000000525e-02
9.997820000000000817e+00 -6.237279999999999908e-02 -8.604169999999999527e-03
